FName,LName,Target,Min,Max,Location,Focus,0,1,2,3,4
Leo,Polovets,$1M,$1M,$2.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Canada , United States, Portland (OR) , San Francisco (CA) , Los Angeles (CA) , New York (NY)  Enterprise , Enterprise , FinTech , FinTech , Health & Hospital Services , Health & Hospital Services , Health IT , Health IT , Insurance , Insurance , Logistics , Logistics , SaaS (Pre-Seed) , SaaS (Seed) , Seattle / Portland  ",https://www.susaventures.com/,https://www.linkedin.com/in/lpolovets/,https://www.twitter.com/lpolovets,https://www.angel.co/p/lpolovets,https://www.crunchbase.com/person/leo-polovets
Evan,Tana,$500K,$350K,$750K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) , California, New York (NY) , Boston (MA) , Seattle (WA) , Los Angeles (CA) , Denver (CO)  Consumer Internet , Consumer Internet , E-commerce , E-commerce , Enterprise , Enterprise , Marketplaces , Marketplaces , Media/Content , Media/Content , Messaging , Messaging , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Social Networks , Social Networks , Web3/Blockchain , Web3/Blockchain , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.122west.vc/,https://www.linkedin.com/in/evantana/,https://www.twitter.com/evantana,https://www.angel.co/p/evantana,https://www.crunchbase.com/person/evan-tana
Henri,Deshays,$500K,$100K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Palo Alto (CA) ClimateTech/CleanTech , ClimateTech/CleanTech , E-commerce , E-commerce , Enterprise , Enterprise , FinTech , FinTech , Health IT , Health IT , Insurance , Insurance , IoT , IoT , Marketplaces , Marketplaces , Robotics , Robotics , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.newfundcap.com/,https://www.linkedin.com/pub/henri-deshays/17/636/881/,https://www.twitter.com/hdeshays,https://www.angel.co/henri-deshays,https://www.crunchbase.com/person/henri-deshays
Josh,Breinlinger,$1M,$100K,$3.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) , Seattle (WA) , Atlanta (GA) , Montreal, New York (NY) , San Diego (CA)  E-commerce , E-commerce , Future of Work , Future of Work , Insurance , Insurance , Marketplaces , Marketplaces , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , San Francisco Bay Area  , SMB Software , SMB Software , Social Networks , Social Networks , Investors who were founders  ",https://www.acrowdedspace.com/,https://www.linkedin.com/in/jbreinlinger/,https://www.twitter.com/jbreinlinger,https://www.angel.co/jbreinlinger,https://www.crunchbase.com/person/josh-breinlinger
Zach,Coelius,$500K,$200K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Global, San Francisco (CA) , SF Bay Area (CA)  Angel, Scout, and Solo-Capitalists  , BioTech , BioTech , Consumer Internet , Consumer Internet , Crypto/Web3 , Crypto/Web3 , DeepTech , DeepTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.coelius.vc/,https://www.linkedin.com/in/zachcoelius/,https://www.twitter.com/zachcoelius,https://www.angel.co/zach-coelius,https://www.crunchbase.com/person/zachery-keplinger-coelius
Amitt,Mahajan,$50K,$25K,$100K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Global, San Francisco (CA) , Tokyo, New York (NY) , Seattle (WA) , Los Angeles (CA) , Austin (TX) , Palo Alto (CA) , Boston (MA) , Hong Kong  AR/VR , AR/VR , Consumer Health , Consumer Health , Developer Tools , Developer Tools , Gaming/eSports , Gaming/eSports , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.presencecap.com/#team,https://www.linkedin.com/in/amittmahajan/,https://www.twitter.com/amittm,https://www.angel.co/amitt,https://www.crunchbase.com/person/amitt-mahajan
Michael,Ma,$250K,$100K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Canada , United States, Latin America, SF Bay Area (CA)  Enterprise , Enterprise , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.liquid2.vc/,https://www.linkedin.com/in/michaelma8/,https://www.twitter.com/MichaelandMa,https://www.angel.co/michael-ma,https://www.crunchbase.com/person/michael-ma
Paul,Arnold,$750K,$50K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) AI , AI , Analytics , Analytics , Consumer Internet , Consumer Internet , Developer Tools , Developer Tools , E-commerce , E-commerce , Enterprise , Enterprise , Insurance , Insurance , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.switch.vc/,https://www.linkedin.com/in/paularnold/,https://www.crunchbase.com/organization/switch-ventures,,
Jonathan,Abrams,$500K,$250K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) Angel, Scout, and Solo-Capitalists  , Cloud Infrastructure , Cloud Infrastructure , Data Services , Data Services , Developer Tools , Developer Tools , E-commerce , E-commerce , Enterprise , Enterprise , Messaging , Messaging , Payments , Payments , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Social Networks , Social Networks , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.jabrams.com/,https://www.linkedin.com/in/jonathanabrams/,https://www.twitter.com/abrams,https://www.angel.co/abrams,https://www.crunchbase.com/person/jonathan-abrams
Erica,Brescia,$125K,$100K,$150K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) , San Francisco (CA) Cloud Infrastructure , Cloud Infrastructure , Diverse Investors  , Enterprise , Enterprise , Female Investors  , Health & Hospital Services , Health & Hospital Services , Health IT , Health IT , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Investors who invested in female founders  , Investors who were founders  ",https://www.redpoint.com/our-people/erica-brescia/,https://www.linkedin.com/in/ebrescia/,https://www.twitter.com/ericabrescia,https://www.angel.co/p/erica-brescia,https://www.crunchbase.com/person/erica-brescia
Luis,Roy,$250K,$100K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Boston (MA) , Canada , Europe, California  AgTech , AgTech , AI , AI , E-commerce , E-commerce , Education , Education , Health IT , Health IT , IoT , IoT , Logistics , Logistics , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Security , Security  Hong Kong, SF Bay Area (CA) , Tokyo, India  AI , AI , Analytics , Analytics , Cloud Infrastructure , Cloud Infrastructure , Data Services , Data Services , Developer Tools , Developer Tools , E-commerce , E-commerce , EnergyTech , EnergyTech , FinTech , FinTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , SMB Software , SMB Software ",https://www.thcap.com/,https://www.linkedin.com/in/luis-gutierrez-roy-9323305/,https://www.angel.co/luis-gutierrez-roy,https://www.crunchbase.com/person/luis-gutierrez,
Carlos,Diaz,$75K,$50K,$100K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) AI , AI , Consumer Internet , Consumer Internet , Data Services , Data Services , IoT , IoT , Marketplaces , Marketplaces , Messaging , Messaging , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Social Networks , Social Networks , Web3/Blockchain , Web3/Blockchain ",https://www.locus.vc/,https://www.linkedin.com/in/erickwan/,https://www.twitter.com/ahding,https://www.angel.co/eric-kwan,https://www.crunchbase.com/person/eric-kwan
Zal,Bilimoria,$1M,$100K,$1.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) , New York (NY) , Los Angeles (CA) , Boston (MA)  AgTech , AgTech , BioTech , BioTech , Chemicals , Chemicals , ClimateTech/CleanTech , ClimateTech/CleanTech , Consumer Health , Consumer Health , Enterprise , Enterprise , FinTech , FinTech , Health & Hospital Services , Health & Hospital Services , Health IT , Health IT , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.therefiners.co/,https://www.linkedin.com/in/carlosdiazprofile/,https://www.crunchbase.com/person/carlos-diaz,,
Warren,Weiss,$1.5M,$100K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) Analytics , ClimateTech/CleanTech , Enterprise , Health & Hospital Services , IoT , SaaS (Seed) , San Francisco Bay Area  , SMB Software , Social Networks , Web3/Blockchain ",https://www.refactor.com/,https://www.linkedin.com/in/zalzally/,https://www.twitter.com/zalzally,https://www.angel.co/zalzally,https://www.crunchbase.com/person/zal-bilimoria
